episode,steps,reward,loss,epsilon,outcome,win_rate_50
1,105,-4.571,0.1061,0.999,out_of_bounds,0.0
2,34,-4.308,0.32355,0.997,out_of_bounds,0.0
3,93,-4.884,0.34297,0.996,out_of_bounds,0.0
4,57,-5.171,0.35913,0.995,out_of_bounds,0.0
5,36,-4.798,0.39131,0.993,out_of_bounds,0.0
6,20,-4.93,0.48238,0.992,out_of_bounds,0.0
7,45,-4.965,0.4609,0.991,out_of_bounds,0.0
8,138,-5.654,0.56209,0.989,out_of_bounds,0.0
9,104,-4.049,0.45747,0.988,out_of_bounds,0.0
10,45,-5.057,0.56753,0.986,out_of_bounds,0.0
11,44,-4.568,0.53998,0.985,out_of_bounds,0.0
12,48,-4.351,0.62995,0.984,out_of_bounds,0.0
13,53,-4.933,0.61959,0.982,out_of_bounds,0.0
14,116,-4.847,0.48265,0.981,out_of_bounds,0.0
15,21,-9.952,0.46372,0.98,loss,0.0
16,38,-4.449,0.50923,0.978,out_of_bounds,0.0
17,102,-4.346,0.55299,0.977,out_of_bounds,0.0
18,59,-4.561,0.58371,0.976,out_of_bounds,0.0
19,106,-3.155,0.55187,0.974,out_of_bounds,0.0
20,49,-4.877,0.48208,0.973,out_of_bounds,0.0
21,54,-4.954,0.55676,0.972,out_of_bounds,0.0
22,22,-5.136,0.36963,0.97,out_of_bounds,0.0
23,24,-4.945,0.65028,0.969,out_of_bounds,0.0
24,60,-4.929,0.71618,0.967,out_of_bounds,0.0
25,18,10.161,0.59386,0.966,win,0.04
26,59,-4.811,0.47893,0.965,out_of_bounds,0.038
27,138,-3.387,0.59545,0.963,out_of_bounds,0.037
28,77,-3.841,0.64344,0.962,out_of_bounds,0.036
29,55,-4.971,0.52327,0.961,out_of_bounds,0.034
30,47,-4.375,0.72805,0.959,out_of_bounds,0.033
31,43,-4.715,0.54443,0.958,out_of_bounds,0.032
32,123,-4.276,0.60268,0.957,out_of_bounds,0.031
33,64,-4.794,0.50678,0.955,out_of_bounds,0.03
34,47,-5.605,0.70455,0.954,out_of_bounds,0.029
35,100,-3.755,0.63878,0.953,out_of_bounds,0.029
36,125,-3.073,0.57536,0.951,out_of_bounds,0.028
37,121,-3.514,0.59776,0.95,out_of_bounds,0.027
38,17,-9.889,0.41554,0.948,loss,0.026
39,59,-5.113,0.82001,0.947,out_of_bounds,0.026
40,27,-4.84,0.46257,0.946,out_of_bounds,0.025
41,16,-9.924,0.71319,0.944,loss,0.024
42,23,-5.045,0.67971,0.943,out_of_bounds,0.024
43,19,-4.811,0.37066,0.942,out_of_bounds,0.023
44,124,-2.776,0.56583,0.94,out_of_bounds,0.023
45,24,-4.88,0.66171,0.939,out_of_bounds,0.022
46,121,-3.313,0.73388,0.938,out_of_bounds,0.022
47,40,-5.325,0.46738,0.936,out_of_bounds,0.021
48,32,-4.823,0.60672,0.935,out_of_bounds,0.021
49,65,-4.438,0.56789,0.933,out_of_bounds,0.02
50,28,-4.715,0.62632,0.932,out_of_bounds,0.02
51,83,-4.39,0.5667,0.931,out_of_bounds,0.02
52,48,-4.856,0.49407,0.929,out_of_bounds,0.02
53,46,-4.983,0.58623,0.928,out_of_bounds,0.02
54,339,0.342,0.56709,0.927,out_of_bounds,0.02
55,205,-1.031,0.61586,0.925,out_of_bounds,0.02
56,118,-3.599,0.58951,0.924,out_of_bounds,0.02
57,146,-5.009,0.56959,0.923,out_of_bounds,0.02
58,93,-5.104,0.68144,0.921,out_of_bounds,0.02
59,82,-5.1,0.53189,0.92,out_of_bounds,0.02
60,22,-5.126,0.64608,0.919,out_of_bounds,0.02
61,155,-3.151,0.47177,0.917,out_of_bounds,0.02
62,190,-5.608,0.57988,0.916,out_of_bounds,0.02
63,48,-4.946,0.62069,0.914,out_of_bounds,0.02
64,53,-5.337,0.69896,0.913,out_of_bounds,0.02
65,74,-3.932,0.60757,0.912,out_of_bounds,0.02
66,73,-3.996,0.52219,0.91,out_of_bounds,0.02
67,25,-9.85,0.84572,0.909,loss,0.02
68,42,-5.242,0.53189,0.908,out_of_bounds,0.02
69,24,-5.201,0.65797,0.906,out_of_bounds,0.02
70,28,-5.139,0.58856,0.905,out_of_bounds,0.02
71,172,-3.643,0.5565,0.904,out_of_bounds,0.02
72,60,-4.232,0.47674,0.902,out_of_bounds,0.02
73,73,-4.885,0.64271,0.901,out_of_bounds,0.02
74,189,-2.904,0.56622,0.9,out_of_bounds,0.02
75,60,-4.847,0.35833,0.898,out_of_bounds,0.0
76,60,-4.736,0.65825,0.897,out_of_bounds,0.0
77,73,-4.525,0.58627,0.895,out_of_bounds,0.0
78,30,-5.096,0.41395,0.894,out_of_bounds,0.0
79,80,-5.027,0.54234,0.893,out_of_bounds,0.0
80,110,-4.375,0.60973,0.891,out_of_bounds,0.0
81,82,-5.968,0.55868,0.89,out_of_bounds,0.0
82,141,-4.823,0.51857,0.889,out_of_bounds,0.0
83,75,-5.637,0.59808,0.887,out_of_bounds,0.0
84,25,-4.956,0.58072,0.886,out_of_bounds,0.0
85,214,0.835,0.42887,0.885,out_of_bounds,0.0
86,70,-4.68,0.54915,0.883,out_of_bounds,0.0
87,108,-3.561,0.47113,0.882,out_of_bounds,0.0
88,80,-5.659,0.42798,0.881,out_of_bounds,0.0
89,82,-4.077,0.45847,0.879,out_of_bounds,0.0
90,49,-5.646,0.33192,0.878,out_of_bounds,0.0
91,84,-4.018,0.49752,0.877,out_of_bounds,0.0
92,87,-4.122,0.43591,0.875,out_of_bounds,0.0
93,149,-4.599,0.55624,0.874,out_of_bounds,0.0
94,152,-3.055,0.51664,0.872,out_of_bounds,0.0
95,45,-4.675,0.38894,0.871,out_of_bounds,0.0
96,101,-4.248,0.45877,0.87,out_of_bounds,0.0
97,119,-4.648,0.48866,0.868,out_of_bounds,0.0
98,67,-4.607,0.45925,0.867,out_of_bounds,0.0
99,91,-4.894,0.56199,0.866,out_of_bounds,0.0
100,50,-4.697,0.54212,0.864,out_of_bounds,0.0
101,49,-4.902,0.41995,0.863,out_of_bounds,0.0
102,55,-4.44,0.43604,0.862,out_of_bounds,0.0
103,85,-4.745,0.4513,0.86,out_of_bounds,0.0
104,54,-5.312,0.49378,0.859,out_of_bounds,0.0
105,20,-4.877,0.37077,0.858,out_of_bounds,0.0
106,63,-5.063,0.58313,0.856,out_of_bounds,0.0
107,62,-4.648,0.51471,0.855,out_of_bounds,0.0
108,131,-3.528,0.47288,0.853,out_of_bounds,0.0
